Model,W,Fold,Accuracy,Precision,Recall,F1
GBC,400,1,99.40535183349851,99.41036160296764,99.40337270248395,99.40530451866405
LR,400,1,99.50445986124876,99.51171875,99.5019920318725,99.50441118252698
DT,400,2,97.42319127849356,97.42719285837774,97.42607479352804,97.42318874744618
RF,400,2,99.20713577799802,99.20711630794376,99.20711630794376,99.20711630794376
SVM,400,2,100.0,100.0,100.0,100.0
NB,400,2,89.89098116947473,89.97413976336112,89.9025200971263,89.88739535432143
KNN,400,2,98.81070366699703,98.83268482490273,98.81656804733727,98.81064642368807
GBC,400,2,99.60356788899901,99.60355815397189,99.60355815397189,99.60355815397189
LR,400,2,99.70267591674926,99.70237861369333,99.70315974759738,99.70267124397753
DT,400,3,96.03567888999008,96.0354785478548,96.03656380395577,96.03564384444323
RF,400,3,99.10802775024777,99.10867241894165,99.10751471431827,99.10799620841908
SVM,400,3,99.90089197224975,99.9015748031496,99.9003984063745,99.90088846760213
NB,400,3,89.49454905847374,89.78413595044266,89.51590089346755,89.47883056582985
KNN,400,3,98.51337958374629,98.51944990176817,98.51678100222385,98.51337374285049
GBC,400,3,99.20713577799802,99.20884086444008,99.20613404370683,99.20709761579204
LR,400,3,99.50445986124876,99.51171875,99.5019920318725,99.50441118252698
DT,400,4,97.22497522299307,97.23420895428535,97.22196028509238,97.2246453691697
RF,400,4,99.30624380574827,99.30940311996542,99.3047533730954,99.30620019115595
SVM,400,4,99.60356788899901,99.60530451866406,99.60257588973495,99.60354880789602
NB,400,4,88.9990089197225,89.04888140713004,89.00807028297069,88.99689061141484
KNN,400,4,98.41427155599604,98.41543623633692,98.4161971443614,98.41426999842841
GBC,400,4,99.60356788899901,99.60530451866406,99.60257588973495,99.60354880789602
LR,400,4,99.40535183349851,99.40533723095783,99.40533723095783,99.40533723095783
DT,400,5,97.71825396825396,97.72362204724409,97.72230686555883,97.71825172258019
RF,400,5,99.10714285714286,99.10714285714286,99.10888282606385,99.10713494840338
SVM,400,5,99.70238095238095,99.7019825835,99.70296094202128,99.70237362935872
NB,400,5,89.28571428571429,89.3813094951615,89.30068856370099,89.28149466752784
KNN,400,5,98.4126984126984,98.42617347923155,98.41854752034392,98.41267341700393
GBC,400,5,99.70238095238095,99.7019825835,99.70296094202128,99.70237362935872
LR,400,5,99.50396825396825,99.50356676062549,99.50454121343112,99.5039560489312
